Hozok egy étlapot. ,,,Ik breng (u) een menukaart. ,
hozzávaló ,fn ,"~k, ~t, ~ja ",ingrediënten ,5
hús ,fn ,"~ok, ~t, ~a ",vlees ,5
ilyenkor ,e ,,"dan, in dit geval ",5
A főétkezés az ebéd. Ilyenkor,,,De lunch is de hoofdmaaltijd. Dan is er altijd soep. ,
mindig van leves is. ,,,,
ing ,fn ,"~ek, ~et, ~(j)e ",overhemd ,5
inkább ,e ,,"liever, meer ",5
Én inkább optimista vagyok. ,,,Ik ben meer een optimist. ,
ismer vmit ,i ,"~ni, ~t, ~j ",iets kennen ,5
Ismer magyar specialitásokat? ,,,Kent u Hongaarse specialiteiten? ,
"© Szita Szilvia és Pelcz Katalin, www.magyar-ok.hu Holland fordítás: Magdolna Verschoor ",,,,6
,,,MagyarOK 1.: szólista az 5. fejezethez / Woordenlijst Hoofdstuk 5 ,
ital ,fn ,"~ok, ~t, ~a ",drinken ,5
itthon ,e ,,thuis ,5
Van itthon vaj? ,,,Hebben we boter in huis? ,
jégkrém ,fn ,"~ek, ~et, ~e ",ijs ,5
kabát ,fn ,"~ok, ~ot, ~ja ",jas ,5
kakaó ,fn ,"~k, ~t, ~ja ",cacao ,5
kalács ,fn ,"~ok, ~ot, ~a ","koek, soort zoet brood ",5
kanál ,fn ,"kanalak, kanalat, kanala ",lepel ,5
kapható ,mn ,,verkrijgbaar ,5
Vegetariánus ételek kaphatók ,,,Vegetarisch voedsel verkrijgbaar ,
káposzta ,fn ,"~’k, ~’t, ~’ja ",kool ,5
káposztasaláta ,fn ,"~’k, ~’t, ~’ja ",koolsalade ,5
karfiol ,fn ,"~ok, ~t, ~ja ",bloemkool ,5
kávéscsésze ,fn ,"~’k, ~’t, ~’je ",koffiekopje ,5
kávéskanál ,fn ,"~kanalak, ~kanalat,",koffielepel ,5
,,~kanala ,,
kedvező ,mn ,"~bb, ~en ",voordelig ,5
kedvező árak ,,,aanbiedingen ,
kefir ,fn ,"~ek, ~t, ~je ",kefir ,5
kék ,mn ,"~ebb, ~en ",blauw ,5
kékfrankos ,fn ,"~ok, ~t, ~a ",rode wijnsoort (Iemberger) ,5
kékoportó ,fn ,"~k, ~t, ~ja ","Portugieser, rode wijnsoort ",5
kell ,i ,"~eni, ~ett, ~j ",nodig ,5
Hány tojás kell a palacsintába? ,,,Hoeveel eieren zijn er nodig om pannenkoeken te maken? ,
kenyér ,fn ,"kenyerek, kenyeret,",brood ,5
Kenyeret veszek. ,,kenyere ,Ik koop brood. ,
kér vmit ,i ,"~ni, ~t, ~j ",iets vragen ,5
Kérek egy kiló paradicsomot. ,,,Ik wil graag een kilo tomaten. ,
keres vmit ,i ,"~ni, ~ett, keress ",iets zoeken ,5
,,,Ik ben op zoek naar een schoenenwinkel. ,
"© Szita Szilvia és Pelcz Katalin, www.magyar-ok.hu Holland fordítás: Magdolna Verschoor ",,,,7
,,,MagyarOK 1.: szólista az 5. fejezethez / Woordenlijst Hoofdstuk 5 ,
Egy cipőboltot keresek. ,,,,
kerthelyiség ,fn ,"~ek, ~et, ~e ","tuin, binnenplaats, patio ",5
kés ,fn ,"~ek, ~t, ~e ",mes ,5
keserű ,mn ,"~bb, ~en ",bitter ,5
készétel ,fn ,"~ek, ~t, ~e ",kant-en-klaar maaltijd ,5
készpénz ,fn ,"~ek, ~t, ~e ",contant ,5
Készpénzzel fizetek. ,,,Ik betaal contant. ,
készül ,i ,"~ni, ~t, ~j ",wordt klaargemaakt ,5
Sok magyar specialitás készül,,,Er zijn veel Hongaarse specialiteiten die met vlees worden,
hússal. ,,,klaargemaakt. ,
kevés ,mn ,"kevesebb, kevesen ",weinig ,5
egy kevés só ,,,een beetje zout ,
kevés specialitás ,,,weinige specialiteiten ,
kifli ,fn ,"~k, ~t, ~je ",broodje (maan vormig) ,5
kilométer (= km) ,fn ,"~ek, ~t, ~e ",kilometer ,5
kisbolt ,fn ,"~ok, ~ot, ~ja ",buurtsuper ,5
kiskanál ,fn ,"~kanalak, ~kanalat,",kleine lepel ,5
,,~kanala ,,
kiszolgálás ,fn ,"~t, ~a ",bediening ,5
kivi ,fn ,"~k, ~t, ~je ",kiwi ,5
klisé (= közhely) ,fn ,"~k, ~t, ~je ",cliché ,5
